NGEL_ID,STATION,CITY,COUNTRY,LAT,LON,YEAR,SEARCH RADIUS,TAU_NEAREST PIXEL,TAU3_PIX,TAU3_MEAN,TAU3_MEDIAN,TAU3_STD
NGEL_OAPM_00001,Arica,Arica,CL,-18.483427991456,-70.290550727043,1998,5.7,34.0,9,32.444,30.0,5.946
NGEL_OAPM_00002,Alto-Hospicio,Alto-Hospicio,CL,-20.290466881209,-70.100192427636,1998,6.9,36.0,6,27.833,26.5,3.804
NGEL_OAPM_00003,São-José-Do-Rio-Preto,São-José-Do-Rio-Preto,BR,-20.78468928,-49.39827779,1998,6.3,15.0,9,13.889,14.0,0.994
NGEL_OAPM_00004,Ribeirão-Preto-Centro,Sao-Paulo,BR,-21.17706594,-47.81898767,1998,4.4,20.0,9,18.222,18.0,1.315
NGEL_OAPM_00005,Escuela-E-10,Tocopilla,CL,-22.085518710314,-70.188682515839,1998,5.6,22.0,7,20.714,21.0,1.278
NGEL_OAPM_00006,Bomberos,Tocopilla,CL,-22.111064,-70.210828,1998,5.9,22.0,5,21.4,22.0,1.356
NGEL_OAPM_00007,Colegio-Pedro-Vergara-Keller,Calama,CL,-22.44283906304,-68.932546346863,1998,2.0,24.0,9,20.556,20.0,1.571
NGEL_OAPM_00008,Complejo-Deportivo-23-de-Marzo,Calama,CL,-22.460270722943,-68.937706917007,1998,1.7,24.0,9,20.556,20.0,1.571
NGEL_OAPM_00009,Estación-Centro,Calama,CL,-22.462144644634,-68.92806169339,1998,2.6,24.0,9,20.556,20.0,1.571
NGEL_OAPM_00010,Piracicaba,Piracicaba,BR,-22.70122234,-47.64965269,1998,5.4,28.0,9,25.556,25.0,1.066
NGEL_OAPM_00011,Sierra-Gorda-,Sierra-Gorda,CL,-22.888724142633,-69.318140714844,1998,5.4,16.0,9,16.889,17.0,1.853
NGEL_OAPM_00012,Campinas-V.União,Campinas,BR,-22.94672842,-47.11928086,1998,3.2,28.0,9,28.0,28.0,0.667
NGEL_OAPM_00013,Taubaté,Taubaté,BR,-23.03235096,-45.57580502,1998,3.3,31.0,9,28.444,28.0,1.499
NGEL_OAPM_00014,S.José-dos-Campos-Jd.Satélite,Sao-Paulo,BR,-23.22364548,-45.8908,1998,5.1,31.0,9,30.556,31.0,1.641
NGEL_OAPM_00015,Guarulhos-Pimentas,Guarulhos,BR,-23.44011701,-46.40994877,1998,4.2,33.0,9,31.556,33.0,2.91
NGEL_OAPM_00016,Guarulhos-Paço-Municipal,Guarulhos,BR,-23.45553426,-46.5185334,1998,3.3,35.0,9,31.667,33.0,2.981
NGEL_OAPM_00017,Pico-do-Jaraguá,Sao-Paulo,BR,-23.4562689,-46.76609776,1998,1.8,33.0,9,32.111,33.0,1.969
NGEL_OAPM_00018,Itaim-Paulista,São-Paulo,BR,-23.50154736,-46.42073684,1998,6.2,33.0,9,33.222,33.0,1.227
NGEL_OAPM_00019,Santana,São-Paulo,BR,-23.50599272,-46.6289603,1998,5.3,34.0,9,34.0,34.0,0.943
NGEL_OAPM_00020,Marg.Tietê-Pte-Remédios,São-Paulo,BR,-23.51870583,-46.74332004,1998,3.5,34.0,9,33.667,34.0,0.816
NGEL_OAPM_00021,Osasco,Osasco,BR,-23.52672142,-46.79207766,1998,5.0,34.0,9,33.667,34.0,0.816
NGEL_OAPM_00022,Parque-D.Pedro-II,São-Paulo,BR,-23.54484566,-46.62767559,1998,2.3,34.0,9,34.0,34.0,0.943
NGEL_OAPM_00023,Cid.Universitária-USP-Ipen,São-Paulo,BR,-23.56634178,-46.73741428,1998,2.2,34.0,9,33.667,34.0,0.816
NGEL_OAPM_00024,Ibirapuera,São-Paulo,BR,-23.59184199,-46.6606875,1998,4.8,34.0,9,34.0,34.0,0.943
NGEL_OAPM_00025,Antofagasta,Antofagasta,CL,-23.61354215815,-70.383315682411,1998,5.3,27.0,9,19.111,18.0,5.425
NGEL_OAPM_00026,Congonhas,São-Paulo,BR,-23.61632008,-46.66346553,1998,4.0,34.0,9,34.889,35.0,0.994
NGEL_OAPM_00027,S.Bernardo-Centro,São-Bernardo-do-Campo,BR,-23.69867109,-46.54623219,1998,5.4,34.0,9,34.333,34.0,1.333
NGEL_OAPM_00028,Targinie,Gladstone,AU,-23.7744,151.1055,1998,5.3,5.0,9,5.333,5.0,1.054
NGEL_OAPM_00029,Grajau-Parelheiros,Sao-Paulo,BR,-23.77626598,-46.69696108,1998,5.6,37.0,9,34.889,35.0,1.1
NGEL_OAPM_00030,Fisherman's-Landing,Gladstone,AU,-23.7937,151.1601,1998,5.0,5.0,9,5.333,5.0,1.054
NGEL_OAPM_00031,Boat-Creek,Gladstone,AU,-23.8199,151.1538,1998,3.4,6.0,9,5.333,5.0,1.054
NGEL_OAPM_00032,South-Gladstone,Gladstone,AU,-23.8626,151.2705,1998,2.5,8.0,9,5.556,5.0,0.956
NGEL_OAPM_00033,Boyne-Island,Gladstone,AU,-23.9408,151.3507,1998,1.0,6.0,9,5.444,5.0,0.956
NGEL_OAPM_00034,Santos-Ponta-da-Praia,Santos,BR,-23.98129516,-46.30050959,1998,6.1,42.0,9,39.444,41.0,4.969
NGEL_OAPM_00035,Copiapo-Sivica,Copiapó,CL,-27.370329154948,-70.323906678352,1998,3.4,16.0,9,9.556,9.0,3.27
NGEL_OAPM_00036,Clinton,Gladstone,AU,-27.3713,151.5934,1998,4.9,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00037,Lytton,South-East-Queensland,AU,-27.4065,153.1527,1998,4.8,8.0,9,7.667,8.0,1.491
NGEL_OAPM_00038,Wynnum,South-East-Queensland,AU,-27.4296,153.1581,1998,2.4,8.0,9,7.667,8.0,1.491
